Chemical,Label
NCGC00261900-01,0.002576
NCGC00260869-01,0.091264
NCGC00261776-01,0.752759
NCGC00261842-01,0.306030
NCGC00261662-01,0.762560
NCGC00261926-01,0.072625
NCGC00260921-01,0.834991
NCGC00261119-01,0.377374
NCGC00260831-01,0.771241
NCGC00261544-01,0.005793
NCGC00261633-01,0.001638
NCGC00261395-01,0.229909
NCGC00261717-01,0.000674
NCGC00261424-01,0.067667
NCGC00261861-01,0.171068
NCGC00261924-01,0.177247
NCGC00261052-01,0.248568
NCGC00261683-01,0.165503
NCGC00261026-01,0.411545
NCGC00261057-01,0.122887
NCGC00261738-01,0.135542
NCGC00261348-01,0.024189
NCGC00261503-01,0.032013
NCGC00260693-01,0.014978
NCGC00260703-01,0.024230
NCGC00260716-01,0.023208
NCGC00260782-01,0.035216
NCGC00260802-01,0.034545
NCGC00260823-01,0.042136
NCGC00261313-01,0.015635
NCGC00260757-01,0.049014
NCGC00260826-01,0.040119
NCGC00261005-01,0.037833
NCGC00260980-01,0.073363
NCGC00261816-01,0.051520
NCGC00260698-01,0.008139
NCGC00260889-01,0.079261
NCGC00260811-01,0.172200
NCGC00261165-01,0.011472
NCGC00261060-01,0.029608
NCGC00261541-01,0.045007
NCGC00261649-01,0.035768
NCGC00261110-01,0.182969
NCGC00261130-01,0.269182
NCGC00260846-01,0.433560
NCGC00261030-01,0.467393
NCGC00261162-01,0.233599
NCGC00261058-01,0.205390
NCGC00261404-01,0.088879
NCGC00261423-01,0.469194
NCGC00261856-01,0.469119
NCGC00261342-01,0.016552
NCGC00261935-01,0.360769
NCGC00261069-01,0.343432
NCGC00261101-01,0.138326
NCGC00261183-01,0.015426
NCGC00261716-01,0.005666
NCGC00260742-01,0.006869
NCGC00261529-01,0.192066
NCGC00261170-01,0.753517
NCGC00261565-01,0.097166
NCGC00260990-01,0.752689
NCGC00261340-01,0.535774
NCGC00261079-01,0.174489
NCGC00261389-01,0.054254
NCGC00261744-01,0.017138
NCGC00261420-01,0.491940
NCGC00261215-01,0.010085
NCGC00261826-01,0.106676
NCGC00260706-01,0.153352
NCGC00261123-01,0.583856
NCGC00261367-01,0.101588
NCGC00261507-01,0.191664
NCGC00261169-01,0.049722
NCGC00261730-01,0.160952
NCGC00261624-01,0.135832
NCGC00261641-01,0.139225
NCGC00261853-01,0.319086
NCGC00260911-01,0.105242
NCGC00260798-01,0.081889
NCGC00261384-01,0.325229
NCGC00260785-01,0.401995
NCGC00261597-01,0.388166
NCGC00261025-01,0.131742
NCGC00260789-01,0.152097
NCGC00260866-01,0.604437
NCGC00261189-01,0.069413
NCGC00261270-01,0.178173
NCGC00261611-01,0.018604
NCGC00261160-01,0.001566
NCGC00261085-01,0.054989
NCGC00261817-01,0.174935
NCGC00261866-01,0.214020
NCGC00260852-01,0.313148
NCGC00261290-01,0.643029
NCGC00261304-01,0.266321
NCGC00261704-01,0.404769
NCGC00260850-01,0.116733
NCGC00260972-01,0.124268
NCGC00261364-01,0.028631
NCGC00261392-01,0.119494
NCGC00261638-01,0.685852
NCGC00261820-01,0.132799
NCGC00261808-01,0.056863
NCGC00260790-01,0.624665
NCGC00260940-01,0.227795
NCGC00261081-01,0.060795
NCGC00261133-01,0.470588
